Code	Title	Description
A01	Tie line	A high voltage line used for cross border energy interconnections.
A02	Line	A specific electric line within a country.
A03	Resource Object	A resource that can either produce or consume energy.
A04	Generation	A resource that can produce energy.
A05	Load	A resource that can consume energy.
A06	Phase Shift Transformer	An electrical device for controlling the power flow through specific lines in a power transmission network.
A07	Circuit Breaker	An electrical switch designed to protect an electrical circuit from damage caused by overcurrent/overload or short circuit.
A08	Busbar	A specific element within a substation to connect grid elements for energy distribution purposes.
A09	Capacitor	A transmission element designed to inject reactive power into the transmission network.
A10	Inductor	A transmission element designed to compensate reactive power in the transmission network.
A11	Power plant connection	All the network equipment that link the generating unit to the grid.
A12	FACTS	Flexible Alternating Current Transmission System
A13	Production unit	A production unit is a composition of one or several generation units.
A14	Internal tie line	An internal tie line is a line between two scheduling areas within the same bidding zone.
B01	Biomass	A resource using biomass for energy.
B02	Fossil Brown coal/Lignite	A resource using Fossil Brown coal/Lignite for energy.
B03	Fossil Coal-derived gas	A resource using Fossil Coal-derived gas for energy.
B04	Fossil Gas	A resource using Fossil Gas for energy.
B05	Fossil Hard coal	A resource using Fossil Hard coal for energy.
B06	Fossil Oil	A resource using Fossil Oil for energy.
B07	Fossil Oil shale	A resource using Fossil Oil shale for energy.
B08	Fossil Peat	A resource using Fossil Peat for energy.
B09	Geothermal	A resource using Geothermal for energy.
B10	Hydro-electric pure pumped storage head installation	Unit in which moving water energy is converted to electricity using flowing water to generate electricity with a large dam and reservoirs. Pure pumped storage plants store water in an upper reservoir with no natural inflows.
B11	Hydro Run-of-river head installation	Unit in which moving water energy is converted to electricity using flowing water to generate electricity in the absence of a large dam and reservoirs.
B12	Hydro-electric storage head installation	Unit in which moving water energy is converted to electricity using flowing water to generate electricity with a large dam and reservoirs.
B13	Marine unspecified	Unit in which marine energy is converted to electricity with equipment/devices not specified.
B14	Nuclear unspecified	A unit in which the heat source is a nuclear reactor of type that is not specified in other nuclear types.
B15	Other renewable	A resource using Other renewable for energy.
B16	Solar unspecified	Unit in which solar energy is converted to electricity with equipment/devices not specified.
B17	Waste	A resource using Waste for energy.
B18	Wind Offshore	Unit in which wind energy is converted to electricity using wind farms constructed in bodies of water, usually in the ocean.
B19	Wind Onshore	Unit in which wind energy is converted to electricity using wind farms constructed on land.
B20	Other unspecified	Other unspecified technology.
B21	AC Link	Overhead line or cable which is used to transmit electrical power via Alternative Current.
B22	DC Link	Overhead line or cable which is used to transmit electrical power via Direct Current.
B23	Substation	An assembly of equipment in an electric power system through which electric energy is passed for transmission, transformation, distribution or switching.
B24	Transformer	Electrical device that transfers energy from one voltage level to another voltage level.
B25	Energy storage	A resource that stores energy. It could be gas, electricity, etc.
B26	Demand Side Response	A resource that change its electricity consumption patterns in response to a signal or incentive.
B27	Dispatchable hydro resource	A resource referring to dispatchable hydro generation.
B28	Solar photovoltaic	Unit in which solar energy is converted to electricity using a technology based on the photoelectric effect.
B29	Solar concentration	Unit in which solar energy is converted to electricity using mirrors to concentrate the sun's energy to drive traditional steam turbines or engines.
B30	Wind unspecified	Unit in which wind energy is converted to electricity with equipment/devices not specified.
B31	Hydro-electric unspecified	Unit in which moving water energy is converted to electricity with equipment/devices not specified.
B32	Hydro-electric mixed pumped storage head installation	Unit in which moving water energy is converted to electricity using flowing water to generate electricity with a large dam and reservoirs. Mixed pumped storage plants use a combination of pumped storage and conventional hydroelectric plants with an upper reservoir that is replenished in part by natural inflows from a stream or river.
B33	Marine tidal	Unit in which marine energy from tides is converted to electricity.
B34	Marine wave	Unit in which marine energy from waves is converted to electricity.
B35	Marine currents	Unit in which marine energy from currents is converted to electricity.
B36	Marine pressure	Unit in which marine energy from pressure is converted to electricity.
B37	Thermal unspecified	Unit in which heat energy is converted to electricity with equipment/devices not specified in other thermal types.
B38	Thermal combined cycle gas turbine with heat recovery	Unit in which heat energy is converted to electricity called Combined Cycle Gas Turbine. The power is generated by the single or multiple gas turbine(s) in combination with the steam turbine(s). The unit might be equipped with waste heat recovery (e.g. to district heating network).
B39	Thermal steam turbine with back-pressure turbine (open cycle)	Unit in which heat energy is converted to electricity. The power is generated with the steam that is expanded in the back-pressure steam turbine with or without heat output (e.g. to district heating network).
B40	Thermal steam turbine with condensation turbine (closed cycle)	Unit in which heat energy is converted to electricity. The power is generated with the steam that is expanded in the condensation steam turbine with or without heat output (e.g. to district heating network).
B41	Thermal gas turbine with heat recovery	Unit in which heat energy is converted to electricity called Simple Cycle Gas Turbine. The power is generated by the gas turbine and the flue gas waste heat is recovered (e.g. to district heating network).
B42	Thermal internal combustion engine	An internal combustion engine is a heat engine in which the combustion of a fuel occurs with an oxidizer (usually air) in a combustion chamber that is an integral part of the working fluid flow circuit (e.g. reciprocating engine). The unit might be equipped with waste heat recovery (e.g. to district heating network).
B43	Thermal micro-turbine	Unit in which heat energy is converted to electricity called Simple Cycle Gas Turbine. The power is generated by the gas turbine (capacity less than 500kWe). The unit might be equipped with waste heat recovery (e.g. to district heating network).
B44	Thermal Stirling engine	A Stirling engine is a heat engine that is operated by the cyclic compression and expansion of air or other gas (the working fluid) at different temperatures, resulting in a net conversion of heat energy to mechanical work.
B45	Thermal fuel cell	A fuel cell is an electrochemical cell that converts the chemical energy of a fuel (e.g. hydrogen) and an oxidizing agent (e.g. oxygen) into electricity through a pair of redox reactions.
B46	Thermal steam engine	A steam engine is a heat engine that performs mechanical work using steam as its working fluid. The steam engine uses the force produced by steam pressure to push a piston back and forth inside a cylinder.
B47	Thermal organic Rankine cycle	The Organic Rankine Cycle (ORC) is named for its use of an organic, high molecular mass fluid with a liquid-vapor phase change, or boiling point, occurring at a lower temperature than the water-steam phase change. The fluid allows Rankine cycle heat recovery from lower temperature sources such as biomass combustion, industrial waste heat, geothermal heat, solar ponds etc. The low-temperature heat is converted into useful work, that can itself be converted into electricity.
B48	Thermal gas turbine without heat recovery	Unit in which heat energy is converted to electricity called Simple Cycle Gas Turbine. The power is generated by the gas turbine and there is no flue gas waste heat recovery.
B49	Nuclear heavy water reactor	A unit in which the heat source is a pressurized heavy-water reactor (PHWR) that is a nuclear reactor that uses heavy water (deuterium oxide D2O) as its coolant and neutron moderator.
B50	Nuclear light water reactor	A unit in which the heat source is a light-water reactor (LWR) that is a type of thermal-neutron reactor that uses normal water, as both its coolant and neutron moderator � furthermore a solid form of fissile elements is used as fuel.
B51	Nuclear breeder	A unit in which the heat source is a nuclear reactor that generates more fissile material than it consumes.
B52	Nuclear graphite reactor	A unit in which the heat source is a graphite-moderated reactor that is a nuclear reactor that uses carbon as a neutron moderator, which allows natural uranium to be used as nuclear fuel.
B53	Temporary energy storage	A resource that is temporarily connected to the grid and that may store energy when connected, such as an electric vehicle.
B54	Permanent energy storage	A resource that is permanently connected to the grid and that may store energy when connected, such as a pumped hydro.
B55	Electric vehicle battery	A resource using electric vehicle batteries, commercial and private. The reason for separating vehicle batteries and non-vehicle batteries is that the vehicle batteries not necessarily is connected to the charger.
B56	Heat pump specified	A heat pump is a device that uses work to transfer heat from a cool space to a warm space by transferring thermal energy using a refrigeration cycle
B57	Heat pump electrical	A heat pump is a device that uses electricity to transfer heat from a cool space to a warm space by transferring thermal energy using a refrigeration cycle.
B58	Heat pump absorption	A heat pump is a device that uses absorption technology to transfer heat from a cool space to a warm space by transferring thermal energy using a refrigeration cycle.
B59	Auxiliary power unit	A technology that provides energy as a backup.
B60	Water electrolysis unspecified	Unspecified water electrolysis.
B61	Water electrolysis low temperature unspecified	Unspecified water electrolysis at low temperature as in an Alkaline or Proto-Exchange Membrane (PEM) fuel cell.
B62	Water electrolysis low temperature main product	Main product water electrolysis at low temperature as in an Alkaline or Proto-Exchange Membrane (PEM) fuel cell.
B63	Water electrolysis high temperature unspecified	Unspecified water electrolysis at high temperature as in a Solid Oxide Electrolysis Cell (SOEC) fuel cell.
B64	Steam methane reforming unspecified	Unspecified methane reforming.
B65	Steam methane reforming without CCS/CCU unspecified	Main product methane reforming without Carbon Capture and Sequestration (CCS)/Carbon Capture and Use (CCU).
B66	Steam methane reforming with CCS/CCU unspecified	Unspecified methane reforming with Carbon Capture and Sequestration (CCS)/Carbon Capture and Use (CCU).
B67	Steam methane reforming with CCS/CCU main product	Main product methane reforming with Carbon Capture and Sequestration (CCS)/Carbon Capture and Use (CCU).
B68	Partial oxidation unspecified	Unspecified partial oxidation.
B69	Autothermal reforming unspecified	Unspecified autothermal reforming.
B70	Methanol reforming unspecified	Unspecified methanol reforming.
B71	Ammonia reforming unspecified	Unspecified ammonia reforming.
B72	Ammonia gasification	Unspecified gasification.
B73	Chlor-alkali electrolysis unspecified	Unspecified alkali electrolysis.
B74	Chlor-alkali electrolysis by-product	Alkali electrolysis product.
B75	ACDC converter	ACDC converters are electrical circuits that transform alternating current (AC) into direct current (DC) and vice versa.
B76	Converter	Electrical device that converts current between AC and DC.
