Code	Title	Description
BAM	Bosnian convertible marka	The Legal tender of Bosnia and Herzegovina.
BGN	Bulgarian lev	The Legal tender of Bulgaria.
CHF	Swiss Franc	The Legal tender of Switzerland.
CZK	Czech Koruna	The legal tender of the Czech Republic.
DKK	Danish Kroner	The Legal tender of Denmark.
EUR	EURO	The European legal tender.
GBP	Pound Sterling	The Legal tender of the United Kingdom.
HRK	Croatian kuna	The legal tender of Croatia.
HUF	Hungarian Forint	The Legal tender of Hungary.
ISK	Icelandic krona	The Legal tender of Iceland.
LEK	Albanian lek	The Legal tender of Albania.
LTL	Lithuanian litas	The Legal tender of Lithuania
MKD	Macedonian denar	The Legal tender of FYROM.
NOK	Norwegian Kroner	The Legal tender of Norway.
PLN	Polish zloty	The Legal tender of Poland.
RON	Romanian Leu	The Legal tender of Romania.
RSD	Serbian dinar	The Legal tender of Serbian Republic.
SAR	Saudi Arabian Riyal	The Legal tender of Saudi Arabia.
SEK	Swedish kroner	The Legal tender of Sweden.
SKK	Slovak Koruna	The legal tender of Slovakia.
TRY	New Turkish Lira	The Legal tender of Turkey.
UAH	Ukrainian hryvnia	The legal tender of Ukraine.
USD	US Dollar	The legal tender of the USA.
