CODE	DEFINITION	DESCRIPTION
A01	Balance responsible prepared by a balance schedule	A schedule which has been responsible party providing planned schedule information.
A02	Allocated capacity schedule	A schedule which has been prepared by a capacity allocator providing allocated capacity.
A03	Balance area schedule	A schedule that provides the planned schedule information for a balance area.
A04	System Operator area schedule	A compilation of all external schedules concerning two System Operator areas of all balance responsible parties.
A05	Control block area schedule	A compilation of all the exchange programs of all control areas for one control block with all neighbouring control areas of a neighbouring control block.
A06	Coordination center area schedule	A compilation of the exchange programs of all exchange blocks divided into UCTE south and north.
A07	Intermediate confirmation report	An intermediate confirmation report that may be produced between final cutoffs.
A08	Final confirmation report	A final confirmation report that is produced after a final cutoff.
A09	Finalised schedule	A compilation of a set of schedules that have been finalized after a given cutoff.
A10	Regulation data report	A compilation of the time series employed on a given day to ensure the balance of the system.
A11	Aggregated energy data report	A compilation of the time series of all the meter readings or their equivalent for a given period.
A12	Imbalance report	The report containing the complete situation of a given period for a party and including the schedules, regulation data and actual or calculated readings.
A13	Interconnection Capacity	Document for cross-border capacity exchanges
A14	Resource Provider Resource Schedule	A document providing the schedules for resource objects submitted by a resource provider
A15	Acquiring System Operator Reserve Schedule	A document providing reserve purchases submitted by an Acquiring System Operator
A16	Anomaly Report	A document providing anomaly information for the receiving party to correct.
A17	Acknowledgement Document	A document providing acknowledgement information.
A18	Confirmation report	A document providing confirmation information.
A19	Capacity for Resale	A document providing information about capacity for resale
A20	Approved Capacity Transfer	A document to approve a  capacity transfer
A21	Capacity transfer notification	A document notifying a capacity transfer
A22	Transmission rights portfolio	A document providing the portfolio of the transmission capacity rights of a market participant
A23	Allocations	A document providing the capacity allocations for a border
A24	Bid document	A document providing bid information
A25	Allocation result document	A document providing the allocation results of an auction
A26	Capacity document	A document providing capacity information
A27	Rights document	A document providing transmission capacity rights information
A28	Generation availability schedule	This document contains information related to energyavailability.
A30	Cross border schedule	This document contains the cross border schedules for all the borders of a given country where energy is exchanged.
A31	Agreed capacity	The capacity agreed between parties
A32	Proposed capacity	The capacity proposed for agreement between parties
A33	System vertical load	The sum of all flows out of the transmission grid via directly connected transformers and lines to distribution grids and end consumers as known by the System Operator.
