Code	Title	Description
A01	Unspecified	Fuel that cannot be associated with any of available fuel codes.
A02	Renewable solid unspecified	Fuel produced in a solid form from renewable resources that cannot be associated with any of available renewable solid fuel codes.
A03	Renewable solid municipal waste	Solid waste of biological material produced by households, hospitals and the tertiary sector (in general all waste that resembles household waste).
A04	Renewable solid industrial and commercial waste	Solid waste generated by businesses, production units, bureaus and offices.
A05	Renewable solid wood	S  olid wood energy resource.
A06	Renewable solid animal fats	Solid animal fats energy resource.
A07	Renewable solid biomass from agriculture	Solid by-products and residues from agriculture.
A08	Renewable liquid unspecified	Fuel produced in form of liquid from renewable resources that cannot be associated with any of available renewable liquid fuel codes.
A09	Renewable liquid municipal biodegradable waste	Liquid municipal waste capable of undergoing anaerobic or aerobic decomposition.
A10	Renewable liquid black liquor	Alkaline-spent liquor obtained from the digesters during the production of sulphate or soda pulp.
A11	Renewable liquid pure plant oil	Oil produced from plants, mainly from rapeseed and sunflower crops.
A12	Renewable liquid waste plant oil	Oil produced from plants that is no longer usable for its originally intended purpose.
A13	Renewable liquid refined vegetable oil	Oil produced from plants and transformed into fuel by refining process (hydrocracking or hydrogenation).
A14	Renewable gaseous unspecified	Fuel produced in form of gas from renewable resources that cannot be associated with any of available renewable gaseous fuel codes.
A15	Renewable gaseous landfill gas	Gas produced by digestion of land filled waste.
A16	Renewable gaseous sewage gas	Gas produced from the anaerobic fermentation of sewage sludge.
A17	Renewable gaseous agricultural gas	Gas produced from agricultural processes.
A18	Renewable gaseous gas from organic waste digestion	Gas produced by anaerobic digestion process from organic waste.
A19	Renewable gaseous process gas	Gas produced by an industrial process as a consequence.
A20	Renewable gaseous other biogenic sources	Gas produced by form of biogenic resource transformation that cannot be associated with any of available renewable gaseous fuel codes that use biogenic energy resource.
A21	Renewable heating and cooling solar	Sunlight energy source.
A22	Renewable heating and cooling geothermal	Geothermal energy source.
A23	Renewable heating and cooling aerothermal	Thermal energy obtained from air.
A24	Renewable heating and cooling hydrothermal	Thermal energy obtained from large body of water.
A25	Renewable heating and cooling process heat	Thermal energy obtained from process heat.
A26	Renewable mechanical unspecified	Energy from renewable resource transformed into mechanical energy that cannot be associated with any of available renewable mechanical fuel codes.
A27	Renewable mechanical wind	Kinetic energy of wind transformed into mechanical energy.
A28	Renewable mechanical hydro and marine	Falling or flowing water energy or energy derived from tidal movement, wave motion or ocean current.
A29	Fossil unspecified	Unspecified fossil energy source.
A30	Fossil solid unspecified	Unspecified fossil solid energy source.
A31	Fossil solid hard coal	Hard coal solid fossil energy source. This includes Anthracite, Bituminous coal, Coking coal, Coke-oven coke and Lignite coke.
A32	Fossil solid brown coal	Brown coal solid fossil energy source. This includes Sub-bituminous coal, Lignite, Brown coal briquette and Peat briquette.
A33	Fossil solid peat	Solid fossil peat energy source.
A34	Fossil solid municipal waste	Solid fossil municipal waste energy source.
A35	Fossil solid industrial and commercial waste	Solid fossil industrial and commercial waste energy source.
A36	Fossil liquid unspecified	Unspecified fossil liquid energy source.
A37	Fossil liquid crude oil	Liquid crude oil fossil energy source. This includes shale oil or other types.
A38	Fossil liquid natural gas liquids (NGL)	Liquid natural gas liquids (NGL) fossil energy source.
A39	Fossil liquid petroleum products	Liquid petroleum products energy source. This includes Ethane,Naphtha, Aviation gasoline , Motor gasoline, Aviation turbine fuel,Other kerosene,Gas/diesel oil , Fuel oil, low sulphur ,Fuel oil, high sulphur ,Liquid Petroleum Gas , Orimulsion , Bitumen ,Lubricants ,Petroleum coke , Refinery Feedstock.
A40	Fossil gaseous unspecified	Unspecified fossil gaseous energy source.
A41	Fossil gaseous natural gas	Fossil gaseous natural gas energy source.
A42	Fossil gaseous coal-derived gas	Fossil gaseous coal-derived gas energy source. This includes Blast furnace gas,Coke-oven gas or other types.
A43	Fossil gaseous petroleum products	Fossil gaseous petroleum products energy source. This includes Propane, Butane, Refinery gas, Chemical waste gas or other types.
A44	Fossil gaseous municipal gas plant	Fossil gaseous municipal gas plant energy source.
A45	Fossil gaseous process gas	Fossil gaseous process gas energy source. This includes Carbon monoxide,  Methane , Hydrogen (fossil sourced) ,Phosphor gas ,Oxy gas and other types.
A46	Fossil heat unspecified	Unspecified fossil heat energy source.
A47	Fossil heat process heat	Fossil process heat energy source.
A48	Nuclear solid radioactive fuel	Solid Nuclear radioactive energy source. This includes UOX, AGR, MOX or other types.
A49	Gas synthesis unspecified	Unspecified gas synthesis energy source.
A50	Gas synthesis furnace gas	Gas synthesis from furnace gas energy source.
A51	Waste heat and cold unspecified	Unspecified Waste heat and cold energy source.
A52	Waste heat and cold By-product in industrial installation	Waste heat and cold from by-product in industrial installation energy source.
A53	Waste heat and cold By-product in power generation	Waste heat and cold from by-product in power generation energy source.
A54	Waste heat and cold By-product in tertiary sector	Waste heat and cold from by-product in tertiary sector energy source.
A55	Hydrogen	Hydrogen energy source.
