Code	Title	Description
A01	Standard balancing product	A harmonised balancing product defined by all TSOs for the exchange of balancing services.
A02	Specific balancing product	A product different from a standard product.
A03	Product from integrated scheduling process	From the EBGL Article 2 (19), means an iterative process that uses at least integrated scheduling process bids that contain commercial data, complex technical data of individual power generating facilities or demand facilities and explicitly includes the start-up characteristics, the latest control area adequacy analysis and the operational security limits as an input to the process.
A04	Local balancing product	A balancing product that is neither standard nor specific. This type may be applicable only in the interim period until standard and specific products have been defined within the given scheduling area.
A05	Standard mFRR product eligible for scheduled activation	Standard mFRR product eligible for scheduled activation.
A06	Standard mFRR product eligible for direct activation	Standard mFRR product eligible for direct activation.
A07	Standard mFRR product eligible for direct and scheduled activation	Standard mFRR product eligible for direct as well as scheduled activation.
A08	Market wide resource capacity mechanism	This is a market-wide resource capacity mechanism where all resource capacity required to ensure security of supply receives payment. These mechanisms are open for participation to all capacity resources contributing to adequacy.
A09	Strategic reserve resource capacity mechanism	This is a market resource capacity mechanism that is kept outside of the electricity market and only used if the market participants do not offer enough generation to meet short-term demand.
A10	Other resource capacity mechanism	This is any other kind of market resource capacity mechanism.
A11	Fast activation product	The fast activation product shall be considered as a fall-back solution for situations where coordination with all parties is no longer possible due to insufficient time and the regular product could not be properly applied.
A12	Remedial Action Cost Sharing Polluter Pays	Cost sharing of coordinated remedial action measures (redispatch and countertrading) under the polluter pays principle.
