Code	Title	Description
A01	Area	The object being described concerns an area.
A02	Metering point	The object being described concerns a metering point.
A03	Party	The object being described concerns a party.
A04	Agreement Identification	The object being described concerns an agreement identification.
A05	Accounting point	The object being described concerns an accounting point.
A06	Resource Object	The object being described concerns a resource object.
A07	Tieline	The object being described concerns a tieline.
A08	Resource type	The object being described concerns a resource type.
A09	DC link	The object being described concerns a DC link.
A10	AC link	The object being described concerns an AC link.
A11	Merchant line	The object being described concerns a merchant line.
A12	Bidding zone	The largest geographical area within which market participants are able to exchange energy without capacity allocation.
A13	Virtual bidding zone	A non-geographical bidding zone to be able to apply extra constraints to Bidding Zones.
A14	Metering grid area	A physical area where consumption, production and exchange can be measured. It is delimited by the placement of meters for continuous measurement for input to, and withdrawal from the area.
A15	Scheduling area	An area within which the TSOs' obligations regarding scheduling apply due to operational or organisational needs.
A16	Exchange point	The object being described concerns an exchange point.
