Code	Title	Description
A01	Day ahead	The information provided concerns a day ahead process.
A02	Intra day incremental	The information provided concerns an intra day schedule.
A03	Inter-area transit	The information provided concerns an inter area transit schedule. The rules governing this process are market dependent
A04	System operation closure	The information provided concerns the closure of a given period of both scheduled and regulation information.
A05	Metered data aggregation	The information provided concerns the aggregation process of metered information.
A06	Imbalance settlement	The information provided concerns the imbalance settlement for a given period for a balance responsible party or parties.
A07	Capacity allocation	The information provided concerns the capacity allocation process.
A08	Central reconciliation	The process carried out to finalise the imbalance settlement based on actual metered values against provisional values from profiled metering points.
A09	Released capacity allocation	The process concerns the notification of capacity rights that are being released.
A10	Proposed capacity allocation	The process concerns the proposed capacity to be allocated for a given border.
A11	Agreed capacity allocation	The process concerns the capacity that has been agreed for allocation for a border.
A12	Long term	The process concerns scheduling all schedules except daily and intraday contracts.
A13	Post scheduling adjustment	The process concerns the adjustments made to previous schedules after the period of execution.
A14	Forecast	The data contained in the document are to be handled in short, medium, long term forecasting process.
A15	Capacity determination	The process of determining the capacity for use.
A16	Realised	The process for the treatment of realised data as opposed to forecast data.
A17	Schedule day	The process concerns the day ahead, intraday and eventually ex-post scheduling in a single document. The schedule will be transferred within the total position including historic information.
A18	Intraday total	This process concerns an intraday schedule which contains the accumulated day ahead and intraday current position.
A19	Intraday accumulated	This process concerns a single intraday schedule process where only intraday evolutions occur through version changes.
A20	SOMA process	System Operator meter alignment process.
A21	SOVM process	System Operator validated measurement process.
A22	RGCE accounting process	The document provides ENTSO-E Regional Group Continental Europe accounting process information.
A23	CCSR RGCE Settlement	The process concerns the control center settlement report for the whole of the ENTSO-E Regional Group Continental Europe.
A24	CBSR Settlement	The process concerns the control block settlement report.
A25	CASR Settlement	The process concerns the control area settlement report.
A26	Outage information	The process concerns TSO publication of outages on its power system.
A27	Reserve resource process	The process being described is for general reserve resources.
A28	Primary reserve process	The process being described is for primary reserves.
A29	Secondary reserve process	The process being described is for secondary reserves.
A30	Tertiary reserve process	The process being described is for tertiary reserves.
A31	Week ahead	The process being described is for the week ahead.
A32	Month ahead	The process being described is for the month ahead.
A33	Year ahead	The process being described is for the year ahead.
A34	Contracted	The process being described is for contracted information.
A35	Network information	The process being described is for network information.
A36	Creation	The process being described is for the creation of information.
A37	Modification	The process being described is for the modification of information.
A38	Deactivation process	The process being described is for deactivation of information.
A39	Synchronisation process	The process being described is for the synchronisation of information.
A40	Intraday process	The process being described is for intraday process.
A41	Redispatch process	The process being described is for redispatch activation.
A42	Activation history process	The process being described is for the provision of an activation history.
A43	Flow based domain constraint day-ahead	The information provided concerns the flow-based process in day ahead.
A44	Flow based domain constraint intraday	The information provided concerns the flow-based process in intraday.
A45	Two days ahead	Two days ahead.
A46	Replacement reserve	A process being described is for replacement reserves (RR) to restore or support the required level of frequency restoration reserves.
A47	Manual frequency restoration reserve	A process being described is for manual frequency restoration reserves (mFRR).
A48	Day-ahead capacity determination	The process run at the day-ahead timeframe to determine the capacity for use.
A49	Intraday capacity determination	The process run at the intraday timeframe to determine the capacity for use.
A50	Long term capacity determination	The process run at the long term timeframe to determine the capacity for use.
A51	Automatic frequency restoration reserve	A process being described is for automatic frequency restoration reserves (aFRR).
A52	Frequency containment reserve	A process being described is for frequency containment reserves (FCR).
A53	Common Grid Model (CGM) merging process	The process for merging individual grid models to form the common grid model.
A54	Coordinated security analysis	The process being described is used for coordinated security analysis.
A55	Exchange of master data	A process for exchanging master data.
A56	Frequency restoration reserve	The process being described is for general frequency restoration reserve.
A57	FSKAR settlement	The information provided concerns the Financial Settlement of K?f, ACE and ramping period settlement for a given period.
A58	mFRR capacity market	Processes related to the Reserve option market to assure that there are enough available reserves for the manual FRR market.
A59	Internal trade reporting	The process related to internal trade reporting.
A60	Scheduled activation mFRR	mFRR being subject to scheduled activation.
A61	Direct activation mFRR	mFRR being subject to direct activation.
A62	Registration	A process related to the registration and management of object information.
A63	Imbalance Netting	The process described is for imbalance netting.
A64	Criteria application for instantaneous frequency	The process describes criteria application for instantaneous frequency.
A65	Criteria application for frequency restoration	The process describes criteria application for frequency restoration.
A66	Cost sharing	The process describes the cost sharing process for costly remedial actions.
A67	Central selection aFRR	aFRR subject to central selection of bids for activation.
A68	Local selection aFRR	aFRR subject to local selection of bids for activation.
A69	Common grid model alignment	The process for aligning bidding zone net positions.
A70	Pan-European verification function	The process for verifying bidding zone net positions.
A71	Outage planning coordination	The process being described is used for outage planning coordination.
A72	Short term adequacy	The process being described is used for short term adequacy calculations.
A73	Coordinated capacity calculation	The process being described is used for coordinated capacity calculation.
A74	Access to metered data	Access to meter readings of electricity consumption from or electricity feed into the grid.
A75	Permission administration	Administration of permissions to access and/or use data.
