Code	Title	Description
A01	Trade responsible party	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A02	Consumption responsible party	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A03	Combined power exchange (not to be used)	This role is no longer in the ENTSO-E Harmonised Role Model Document.
A04	System operator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A05	Imbalance settlement responsible	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A06	Production responsible party	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A07	Transmission capacity allocator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A08	Balance responsible party	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A09	Metered data aggregator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A10	Billing agent	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A11	Market operator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A12	Energy supplier	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A13	Consumer	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A14	Control area operator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A15	Control block operator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A16	Coordination centre operator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A17	Grid access provider	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A18	Grid operator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A19	Meter administrator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A20	Party connected to grid	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A21	Producer	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A22	Profile maintenance party	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A23	Meter operator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A24	Metered data collector	R  efer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A25	Metered data responsible	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A26	Metering point administrator	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
A27	Resource Provider	Refer to role model definitions in the ENTSO-E Harmonised Role Model Document.
