Code	Title	Description
A01	Intermediate	The document is in a non finalized state.
A02	Final	The document is in a definitive state.
A03	Deactivated	The object being reported has been deactivated.
A04	Reactivated	The object being reported has been reactivated.
A05	Active	The object being reported is currently active.
A06	Available	The volumes (one or more) are available.
A07	Activated	The quantities in the time series have been activated.
A08	In process	The quantities in the time series are in the process of activation (an activation request has been made).
A09	Cancelled	The tender indicated in the time series has been completely cancelled.  In this case the resources are no longer available to all Acquiring System Operators
A10	Ordered	The quantities in the time series are to be activated.
A11	Unavailable	The volumes (one or more) are unavailable.
A12	RGCE agreed	The information has been agreed within the ENTSO-E Regional Group Continental Europe process.
A13	Withdrawn	The information or action has been withdrawn by the submitter.
A14	Creation	The action requested to be carried out is the creation of a new object.
A15	Update	The action requested to be carried out is the update an existing object.
A16	Deactivation	The action requested to be carried out is to deactivate an existing object.
A17	Reactivation	The action requested to be carried out is to reactivate a previously deactivated object.
A18	Preventive	The remedial action is applied to prevent an outage.
A19	Curative	The remedial action is applied after an outage has occurred, in order to maintain the operational security.
A20	Automatic	The remedial action being described is applied by an automation when an outage occurs.
A21	Open	The action being described consists of disconnecting the network element to the transmission network.
A22	Close	The action being described consists of connecting the network element to the transmission network.
A23	Stop	The action being described consists of stopping the production or consumption connected to a network element.
A24	Start	The action being described consists of starting the production or consumption connected to a network element.
A25	Relative	The quantity being described is a relative value to an initial state.
A26	Absolute	The quantity being described is an absolute value.
A27	Curative or preventive	The remedial action can be applied to prevent an outage or after an outage has occurred in order to maintain the operational security.
A28	Unshared bid	Used to indicate that the bid cannot be shared.
A29	Pre Processed	to be process
A30	Substituted	Substituted pre-processing data.
A31	Modified	Modified pre-processing data by RSC or CGMA platform.
A32	Result	Result
A33	Not satisfied	The need described in the time series cannot be satisfied.
A34	Rejected	The document rejected by one or more parties.
A35	Preliminary	Indicative information only for initial planning purposes.
A36	Planned	Is planned.
A37	Confirmed	The status is confirmed.
A38	Shall Be Used	The object defined in the series shall be used.
A39	Could Be Used	The object defined in the series could be used.
A40	Proposed	The status of the information is proposed.
A41	Individual Network Data	The network data provided in the document or series concerns the the unique TSO area describes by the document or series.
A42	Common Network Data	The network data provided in the document or series concerns the whole area describes by the document or series.
A43	Setpoint schedule	The code for the power setpoint mode of operation of the HVDC link.
A44	Proportional external signal	The code for the proportional external signal mode of operation of the HVDC link.
A45	AC emulation	The code for the AC emulation mode of operation of the HVDC link.
A46	Importing element	An importing network element in which the flow measurement enters.
A47	Exporting element	An exporting network element from which the flow measurement comes out.
A48	To be optimized	Describes an element which needs to be optimized by an optimization process.
A49	To be monitored	Describes an element which needs to be monitored by an optimization process.
A50	To be included in capacity calculation	Describes an element which needs to be taken into account in a capacity calculation process.
A51	Relative to previous point in time	The quantity being described is a relative value to a previous point in time.
A52	For flow optimization	Describes an element which needs to be optimized by a flow optimization process.
A53	For voltage optimization	Describes an element which needs to be optimized by a voltage optimization process.
A54	Presolved	Describes an active constraint that limits the exchanges. It is part of the presolved domain.
A55	Not available if linked bid activated	Bid not available if linked bid activated.
A56	Not available if linked bid rejected	Bid not available if linked bid rejected.
A57	Not available for DA if linked bid subject to DA	Bid not available for direct activation if linked bid subject to direct activation.
A58	Not available for DA if linked bid subject to SA	Bid not available for direct activation if linked bid subject to scheduled activation.
A59	Not available if linked bid subject to SA	Bid not available if linked bid subject to scheduled activation.
A60	Not available if linked bid subject to DA	Bid not available if linked bid subject to direct activation.
A61	Primary market	A value is traded for the first time.
A62	Secondary market	A value is traded for the second or next times between two parties.
A63	Interesting	Describes an asset which is considered as interesting.
A64	Relevant	Describes an asset which is considered as relevant.
A65	Conditionally available	Bid available as long as none of the conditions associated with the linked bids materialise.
A66	Conditionally unavailable	Bid unavailable as long as none of the conditions associated with the linked bids materialise.
A67	Available if linked bid activated	Bid available if linked bid activated.
A68	Available if linked bid rejected	Bid available if linked bid rejected.
A69	Available if linked bid subject to SA	Bid available if linked bid subject to scheduled activation.
A70	Available if linked bid subject to DA	Bid available if linked bid subject to direct activation.
A71	Available for DA if linked bid subject to DA	Bid available for direct activation if linked bid subject to direct activation.
A72	Available for DA if linked bid subject to SA	Bid available for direct activation if linked bid subject to scheduled activation.
A73	Delta	Describes a status representing a difference between two values.
A74	Validated	The object or action was validated.
A75	Invalid	The object or action was invalid.
A76	Timed out	The object or action was timed out.
